"Организация","ИНН","Ответственное лицо","№ дела","Тип","Статус взаимодействия","Статус","Сайт","Производитель ТС ОРМ","Отрасль","Владелец СОРМ"
"ООО Клиника Екатерининская","2310136870","ТМА","432","Организатор распространения информации","Передан в работу","Действий не требуется","clinic23.ru","","Здравоохранение",""
"ООО УК Южане","2312318762","ТМА","764","Источник ЕИАС","Подписание документов","Требуется действие","","","",""
"ООО Шанс и С сеть автошкол","2310188290","ТМА","","","","","shans23.ru","","",""
"ООО Автоинлайн","4345385863","ТМА","","","","","avtoinline.com","","",""
"ООО КДЦ Клиницист плюс","2309063360","ТМА","476","Организатор распространения информации","Пуско наладка","Требуется действие","clinicist.ru","","Здравоохранение",""
"ООО Аякс","2308270130","ТМА","439","Источник ЕИАС","Передан в работу","Требуется действие","ayax.ru","","Другое",""
"ООО Портал-Юг","2311064931","ТМА","460","Источник ЕИАС","Передан в работу","Требуется действие","portal-yug.ru","","Консалтинг",""
"ООО Дюна ","2311243031","ТМА","462","Источник ЕИАС","Передан в работу","Требуется действие","livedune.com","","Консалтинг",""
"ООО ББ-Агент","2308274054","ТМА","","Организатор распространения информации","В РКН","Требуется действие","broniboy.ru, мобильное приложение Broniboy – доставка еды","","",""
"СГО КРО ОО Всероссийское общество автомобилистов","2320018770","ТМА","","","","","voa23.ru","","",""
"ООО УЦА Лидер","2318047452","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","lider-center.ru","","Образование",""
"ИП Сиропова Маргарита Геннадьевна","2310023560","ТМА","","","","","dr-store.ru","","",""
"ЧПОУ Светофор","2320178283","ТМА","","","","","svetoforsochi.ru","","",""
"НКО Фонд капитального ремонта МКД","2311981102","ТМА","429","Организатор распространения информации","Пуско наладка","Требуется действие","kapremont23.ru","","Коммунальные услуги",""
"ООО Антей-Сервис","2311073245","ТМА","433","Организатор распространения информации","Отмена","Действий не требуется","antei-service.ru","","Другое",""
"ИП Завражных Евгений Николаевич","2311301392","ТМА","","","","","indexiq.ru","","",""
"ООО ТС Клиника","2310213725","ТМА","","","","","tsclinic.ru","","",""
"ООО Мир охоты","2312076658","ТМА","","","","","huntworld.ru, мобильное приложение Мир охоты","","",""
"АО Дикси Юг","5036045205","ТМА","","Организатор распространения информации","Отмена","Действий не требуется","dixy.ru","","Торговля",""
"ООО Городская управляющая компания - Краснодар ","2311104687","ТМА","","","","","gukkrasnodar.ru","","",""
"ООО Центр Винного Туризма Абрау-Дюрсо","2315152138","ТМА","424","Организатор распространения информации","Пуско наладка","Действий не требуется","visitabrau.ru, abraudurso.ru, приложение Визит Абрау","специальные технологии","Развлечения",""
"ИП Чугунов","3428984123","ТМА","","","","","южные-регионы.рф","","",""
"ЧУ ОДПО Автошкола Мелис","2304980242","ТМА","","Источник ЕИАС","Подписание документов","Требуется действие","melis-driving.ru","","",""
"ООО Современные диагностические Технологии (Клиника Евромед)","2309120900","ТМА","479","Организатор распространения информации","Пуско наладка","Требуется действие","klinika-evromed.ru","","Здравоохранение",""
"ООО Домейн","2317079557","ТМА","423","Организатор распространения информации","Пуско наладка","Действий не требуется","krasnayapolyana.game, casinosochi.ru, bonus-hotel.ru, casinoboomerang.ru, bonushall.ru, brunellosochi.ru, мобильное приложение Игорная зона Красная Поляна","НЕОС","Развлечения",""
"ООО ГК Точно","2312295177","ТМА","764","Источник ЕИАС","Подписание документов","Требуется действие","","","Строительство",""
"ЧПОУ Матрица","2320161924","ТМА","","","","","sochi-matrix.ru","","",""
"ООО Автошкола № 1","2312137727","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","avton1.ru","","Образование",""
"ООО Каян","2310031620","ТМА","430","Организатор распространения информации","Передан в работу","Требуется действие","kayan.ru","","Другое",""
"ИП Коробов Станислав Станиславович","2323051498","ТМА","","","","","ishop-studio.ru","","",""
"ООО Здоровье Кубани","2311132839","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","zimamed.com","","Здравоохранение",""
"НОЧУ ДПО КМИДО","2312125721","ТМА","","Организатор распространения информации","В РКН","Требуется действие","kmido.ru","","Образование",""
"ООО Ална","2370008784","ТМА","","","","","alna.ru, мобильное приложение ALNA доска объявлений","","",""
"ООО Миницена","2373008542","ТМА","434","Организатор распространения информации","Смена формата","Требуется действие","s-zdorovie.ru","","Здравоохранение",""
"ООО УК Сказка Град","2312318770","ТМА","764","Источник ЕИАС","Подписание документов","Требуется действие","","","Коммунальные услуги",""
"НЧОУ ДПО автошкола Флагман","2309085652","ТМА","","","","","avtoshkola-flagman.ru","","",""
"ООО Академия Здоровья","2308201899","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","zdorovie123.ru","","Здравоохранение",""
"ФГАОУ ДПО Краснодарский ЦППК","2308082000","ТМА","","","","","cppkkrd.ru","","",""
"ИП Бикулов Николай Васильевич","2330158443","ТМА","","","","","redstore23.ru","","",""
"ЧУ ОДПО автошкола Авто Плюс","2302062737","ТМА","","","","","автошкола-автоплюс.рф","","",""
"ООО Формула здоровья","2311132846","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","zimamed.com","","Здравоохранение",""
"ООО Баланс","2312270581","ТМА","764","Источник ЕИАС","Смена формата","Требуется действие","balance-fit.ru, мобильное приложение Balance Fitness","","Другое",""
"ООО УК Белые росы","2312300660","ТМА","764","Источник ЕИАС","Подписание документов","Требуется действие","","","Коммунальные услуги",""
"ООО Электронный билет Кубани","2310147631","ТМА","457","Организатор распространения информации","Передан в работу","Действий не требуется","etkrasnodar.ru, приложение ЧасПик-транспорт","Норси-Транс","Транспорт",""
"ООО МК Лайф","2311225184","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","клиникакраснодар.рф","","Здравоохранение",""
"ПАО Магнит (АО Тандер)","2309085638","ТМА","419","Организатор распространения информации","Пуско наладка","Требуется действие","magnit.ru","Цитадель","Торговля",""
"ИП Тимохов Сергей Андреевич","2305031757","ТМА","","","","","store123.ru","","",""
"АО КХР","6950218905","ТМА","458","Организатор распространения информации","Пуско наладка","Требуется действие","kuchenland.ru","ИТМ Лебедева","Торговля",""
"АО Нэск","2308091759","ТМА","418","Организатор распространения информации","Пуско наладка","Требуется действие","nesk.ru, мобильное приложение НЭСК","","",""
"ООО Медсонар","2311215820","ТМА","","","","","medsonar.ru","","",""
"АНПОО Учебный центр Приморский","2315140510","ТМА","","","","","avtoprimorski.ru","","",""
"ООО Вектор","2312196842","ТМА","","","","","vector23.ru","","",""
"ООО Инстор","2310226393","ТМА","","","","","instore.works","","",""
"ООО КЭС","2308138781","ТМА","","Организатор распространения информации","Отмена","Действий не требуется","kes-krd.ru","","Энергетика",""
"АНО ДПО Драйв","2315164648","ТМА","","","","","drive-nvrsk.ru","","",""
"ЧОУ ДПО Автошкола Южная","2317055450","ТМА","","","","","avtoadler.ru","","",""
"ООО Лидер+","2312311615","ТМА","","","","","lider-krd.com","","",""
"ООО ЦЭН Юг","2309154521","ТМА","472(закрыт","Источник ЕИАС","Пуско наладка","Требуется действие","eviclinic.ru","","Здравоохранение",""
"ООО АПК Мильстрим","2352039821","ТМА","","","","","millstream-wines.ru, мобильное приложение Millstream Wines","","",""
"ООО Сити-клиник","2308108219","ТМА","","","","","poly-clinic.ru","","",""
"ООО Инвестстрой","2310141799","ТМА","","","","","fckrasnodar.ru, parkkrasnodar.com","","",""
"АГО КРО ОО ВОА","2302000748","ТМА","","","","","armvoa.ru","","",""
"ООО Фармацевтическая компания Апрель","2309137766","ТМА","438","Организатор распространения информации","Передан в работу","Действий не требуется","apteka-april.ru, мобильное приложение Аптека Апрель","Норси-Транс","Здравоохранение",""
"ЧПОУ Экстримавто","2315156929","ТМА","","","","","форсаж-авто.рф","","",""
"ООО КДЦ Персона-Мед","2309157674","ТМА","","","","","wmtmed.ru","","",""
"ООО Табрис","2310070932","ТМА","","Источник ЕИАС","Пуско наладка","","tabris.ru","","Торговля",""
"ООО Монитор Олимп","2309095724","ТМА","427","Организатор распространения информации","Передан в работу","Действий не требуется","kinomonitor.ru, приложение Кинотеатр Монитор ","Цитадель","Развлечения",""
"ООО СЗ Югстрой Регион","2312277107","ТМА","","","","","neometria.ru","","",""
"ООО Жилфондсервис","2311131120","ТМА","425","Организатор распространения информации","Передан в работу","Действий не требуется","мобильное приложение Квартплата.Онлайн","ИТМ Лебедева","Коммунальные услуги",""
"ООО Богатырь","2310173279","ТМА","","","","","zdrava-clinic.ru, zdrava123.ru","","",""
"ЧПОУ Восход","2312980006","ТМА","","","","","avtovoshod.com","","",""
"АО Фирма Агрокомплекс им. Н.И. Ткачева ","2335037840","ТМА","415","Организатор распространения информации","Пуско наладка","Действий не требуется","agrokomplex.ru, agrokomplexshop.ru, мобильное приложение Агрокомплекс","НЕОС","Торговля",""
"ИП Пилипенко","2312992031","ТМА","","","","","fancydiamond-krasnodar.ru","","",""
"ООО Никамед","2311309282","ТМА","475","Организатор распространения информации","Пуско наладка","Требуется действие","ck-clinic.ru","","Здравоохранение",""
"ООО Луч","2312142460","ТМА","","","","","luch-auto.ru","","",""
"НАО Красная поляна","2320102816","ТМА","465","Организатор распространения информации","Пуско наладка","Действий не требуется","krasnayapolyanaresort.ru, мобильное приложение Курорт красная поляна","НЕОС","Гостиничное дело",""
"ООО ЧОП Нева-Безопасность","2312137981","ТМА","466","Организатор распространения информации","Пуско наладка","Действий не требуется","ohrana-neva.ru, приложение НеваОнлайн","","Другое",""
"ООО Ближе","2308263165","ТМА","477","Организатор распространения информации","Пуско наладка","Требуется действие","blije.ru","","Здравоохранение",""
"ПАО ГК ТНС энерго","2308119595","ТМА","","","","","kuban.tns-e.ru","","",""
"ООО Технологии коммуникаций","2309181317","ТМА","","","","","t-communicator.ru","","",""
"ООО Юг Мотор","2309155194","ТМА","","","","","kubanparts.ru","","",""
"ООО Медист","2308257098","ТМА","","","","","medeast23.ru","","",""
"ООО УК "Патрики"","2311385170","ТМА","764","Источник ЕИАС","Подписание документов","Действий не требуется","","","Коммунальные услуги",""
"ООО Молодо","2308257098","ТМА","","Организатор распространения информации","Отмена","Действий не требуется","krasnodar.fomin-clinic.ru","","Здравоохранение",""
"ЧОУ ДПО Трек","2302056839","ТМА","","","","","автошкола-трек.рф","","",""
"ООО АВТОСТИЛЬ","2364018167","ТМА","","","","","avtostilkrd.ru","","",""
"ООО РуФокс","2308130550","ТМА","461","","","","rufox.ru","","",""
"ООО Санталь 23","2311210420","ТМА","","","","","santal-krasnodar.ru, 330003.org, 0323.ru","","",""
"ООО Инглекс","2311308881","ТМА","474","Организатор распространения информации","Пуско наладка","Требуется действие","englex.ru","","Образование",""
"ООО Эмплай","9731064278","ТМА","471","Организатор распространения информации","Отмена","Действий не требуется","empl.ai","","Консалтинг",""
"ООО Февраль","2308114798","ТМА","416","Организатор распространения информации","Пуско наладка","Требуется действие","alkoteka.com, мобильное приложение Алкотека,","Сигналтек","Торговля",""
"ООО УК Клевер","2311138291","ТМА","","","","Требуется действие","ukks23.ru","","Коммунальные услуги",""
"ООО Импульс","2312021105","ТМА","764","Источник ЕИАС","Пуско наладка","Требуется действие","zimamed.com","","",""
"ООО Рабочие Руки","2311233918","ТМА","464","Организатор распространения информации","Пуско наладка","Требуется действие","russian.works","Сигналтек","Консалтинг",""
"ООО ММЦ Уро-Про","2308072361","ТМА","","","","","upclinic.ru","","",""
"ООО Твил Софт","9731077781","ТМА","","","","","tvil.ru, мобильное приложение ТВИЛ.РУ – бронирование жилья","","",""
"ООО Дим Кофе","2312203433","ТМА","441","Источник ЕИАС","Передан в работу","Требуется действие","приложение DIM COFFEE","","Торговля",""
"ООО Свод Интернешнл","7730163480","ТМА","","","","","polyanaski.ru, приложение Курорт Газпром","","",""
"ООО БГО Групп","2317078899","ТМА","","","","","begeton.com","","",""
"ООО Аркона","2312267194","ТМА","","","","","arkona23.ru","","",""
"ИП Кизилов Виктор Вячеславович","2304063075","ТМА","431","Источник ЕИАС","Передан в работу","Требуется действие","azur.ru","","Другое",""
"ООО УК Абрикосово","2312300652","ТМА","764","Источник ЕИАС","Подписание документов","Требуется действие","","","Коммунальные услуги",""
"ООО Клиника доктора Пронина","2311329433","ТМА","","Организатор распространения информации","Подписание документов","Требуется действие","pronin-clinic.ru","","Здравоохранение",""
"ООО Бест Клиник","2311199270","ТМА","478","Организатор распространения информации","Пуско наладка","Требуется действие","bestmedgroup.ru","","Здравоохранение",""
"ООО Рускон","2315094729","ТМА","","","","","ruscon.ru","","",""
"ИП Балаян Виталий Валерьевич","2311304064","ТМА","","","","","vbboutique.ru","","",""
"ЧОУ ДПО ЮниАвто","2304052237","ТМА","","","","","gel-uniauto.ru","","",""
"ИП Осипян В.Н.","2308014179","ТМА","467","Организатор распространения информации","Пуско наладка","Требуется действие","kubaninstrument.ru","","Торговля",""
"ООО ГК Ключавто","2310095366","ТМА","414","Организатор распространения информации","Передан в работу","Действий не требуется","keyauto.ru","Сигналтек","Транспорт",""
"ООО СЛ Медикалгруп","2308108201","ТМА","436","Организатор распространения информации","Пуско наладка","Действий не требуется","мобильное приложение CLPRIME","","Здравоохранение",""
"ЧУ ОДПО автошкола Главная дорога","2311980476","ТМА","","","","","mainroad23.ru","","",""
"СГОО Детско-юношеский автомобильный центр","2320108720","ТМА","","","","","автошколы-сочи.рф","","",""
"ООО Югопт","2312277266","ТМА","","","","","granat-market.ru","","",""
"ООО Ндфлка.Ру ","2310162460","ТМА","468","Организатор распространения информации","Пуско наладка","Действий не требуется","ndflka.ru, приложение НДФЛка возврат налогов онлайн","ИТМ Лебедева","Финансы",""
"ООО КБ Кубань кредит","2312016641","ТМА","437","Организатор распространения информации","Пуско наладка","Действий не требуется","portal.kubankredit.ru, lkc.kubankredit.ru, мобильное приложение Кубань Кредит Онлайн","Цитадель","Банковское дело",""
"ООО Медрейтинг","2311144947","ТМА","428","Организатор распространения информации","Пуско наладка","Действий не требуется","prodoctorov.ru, medtochka.ru, medlock.ru, medflex.ru, protabletky.ru, probolezny.ru, мобильное приложение МедТочка","Цитадель","Здравоохранение",""
"ИП Авакян Артур Гарриевич","2312958913","ТМА","","","","","istore93.ru","","",""
